速度m/s,扰动方向,符号,结果,峰值roll_deg,峰值pitch_deg,峰值yaw_deg,恢复时间s,纵向位移m
0.0,x,-1,PASS,0.0,2.5,1.0,0.00,-0.04
0.0,x,+1,PASS,0.0,2.3,0.8,0.00,+0.04
0.0,y,-1,PASS,0.4,0.0,0.3,0.00,-0.00
0.0,y,+1,PASS,0.4,0.0,0.3,0.00,-0.00
0.0,yaw,-1,PASS,0.0,0.1,8.5,0.35,-0.00
0.0,yaw,+1,PASS,0.0,0.1,8.5,0.35,-0.00
1.0,x,-1,PASS,0.0,3.6,0.0,0.00,+2.53
1.0,x,+1,PASS,0.0,7.1,0.0,0.15,+2.71
1.0,y,-1,PASS,0.4,3.3,0.6,0.00,+2.64
1.0,y,+1,PASS,0.4,3.3,0.6,0.00,+2.64
1.0,yaw,-1,PASS,0.8,3.3,10.6,0.25,+2.64
1.0,yaw,+1,PASS,0.8,3.3,10.6,0.25,+2.64
